name,id,ratio,widths
hero,photo-1555507036-ab1f4038808a,3:2,"640 768 1024 1280 1600 2200"
loaf,photo-1549931319-a545dcf3bc73,21:9,"800 1400 2000"
room,photo-1600093463592-8e36ae95ef56,4:3,"600 1000 1400"
visit,photo-1445116572660-236099ec97a0,3:2,"600 1000 1400"
g-espresso,photo-1559496417-e7f25cb247f3,4:5,"400 700 1000"
g-cookies,photo-1499636136210-6f4ee915583e,4:5,"400 700 1000"
g-toast,photo-1525351484163-7529414344d8,4:5,"400 700 1000"
g-latte,photo-1541167760496-1628856ab772,4:5,"400 700 1000"
g-rolls,photo-1608198093002-ad4e005484ec,4:5,"400 700 1000"
g-matcha,photo-1515823064-d6e0c04616a7,4:5,"400 700 1000"
g-counter,photo-1453614512568-c4024d13c247,4:5,"400 700 1000"
g-case,photo-1534432182912-63863115e106,4:5,"400 700 1000"
